listingID,symbol,name,active,tracked
476,WRB,W. R. Berkley Corporation,1,1
477,WAB,Westinghouse Air Brake Technologies Corp,1,1
478,WMT,Walmart,1,1
479,WBA,Walgreens Boots Alliance,1,1
480,DIS,The Walt Disney Company,1,1
481,WM,Waste Management Inc.,1,1
482,WAT,Waters Corporation,1,1
483,WEC,WEC Energy Group,1,1
484,WFC,Wells Fargo,1,1
485,WELL,Welltower Inc.,1,1
486,WST,West Pharmaceutical Services,1,1
487,WDC,Western Digital,1,1
488,WU,Western Union Co,1,1
489,WRK,WestRock,1,1
490,WY,Weyerhaeuser,1,1
491,WHR,Whirlpool Corp.,1,1
492,WMB,Williams Companies,1,1
493,WLTW,Willis Towers Watson,1,1
494,WYNN,Wynn Resorts Ltd,1,1
495,XEL,Xcel Energy Inc,1,1
496,XRX,Xerox,1,1
497,XLNX,Xilinx,1,1
498,XYL,Xylem Inc.,1,1
499,YUM,Yum! Brands Inc,1,1
500,ZBRA,Zebra Technologies,1,1
501,ZBH,Zimmer Biomet,1,1
502,ZION,Zions Bancorp,1,1
503,ZTS,Zoetis,1,1
